nombre,level,year,enrolled,enrolled_in_expected_age,population_expected_age,enrollment_gross,enrollment_net
ALTA VERAPAZ,Nivel primaria,2016,"208,896","163,760","213,415",97.88,76.73
BAJA VERAPAZ,Nivel primaria,2016,"45,492","37,672","49,691",91.55,75.81
CHIMALTENANGO,Nivel primaria,2016,"94,265","82,471","117,449",80.26,70.22
CHIQUIMULA,Nivel primaria,2016,"65,242","54,171","66,819",97.64,81.07
EL PROGRESO,Nivel primaria,2016,"25,252","21,388","24,678",102.33,86.67
ESCUINTLA,Nivel primaria,2016,"107,405","90,690","104,981",102.31,86.39
GUATEMALA,Nivel primaria,2016,"425,939","380,516","405,899",104.94,93.75
HUEHUETENANGO,Nivel primaria,2016,"194,946","166,889","213,466",91.32,78.18
IZABAL,Nivel primaria,2016,"64,932","53,017","71,166",91.24,74.5
JALAPA,Nivel primaria,2016,"54,549","45,712","62,718",86.98,72.88
JUTIAPA,Nivel primaria,2016,"71,918","60,862","78,527",91.58,77.5
PETEN,Nivel primaria,2016,"93,519","75,357","129,962",71.96,57.98
QUETZALTENANGO,Nivel primaria,2016,"122,923","103,646","134,931",91.1,76.81
QUICHE,Nivel primaria,2016,"168,187","138,405","203,144",82.79,68.13
REPUBLICA,Nivel primaria,2016,"2,323,954","1,971,723","2,520,936",92.19,78.21
RETALHULEU,Nivel primaria,2016,"49,584","41,860","50,218",98.74,83.36
SACATEPEQUEZ,Nivel primaria,2016,"46,303","40,981","48,793",94.9,83.99
SAN MARCOS,Nivel primaria,2016,"171,744","148,480","176,882",97.1,83.94
SANTA ROSA,Nivel primaria,2016,"57,980","48,983","57,406",101,85.33
SOLOLA,Nivel primaria,2016,"64,694","56,010","88,101",73.43,63.57
SUCHITEPEQUEZ,Nivel primaria,2016,"84,607","71,883","89,231",94.82,80.56
TOTONICAPAN,Nivel primaria,2016,"69,468","58,812","99,931",69.52,58.85
ZACAPA,Nivel primaria,2016,"36,109","30,158","33,528",107.7,89.95
