year,school_code,longitude,latitude
2017,00-01-0058-43,-90.509171,14.632609
2017,00-01-0082-43,-90.515884,14.630334
2017,00-01-0085-43,-90.513092,14.634862
2017,00-01-0089-43,-90.506874,14.633863
2017,00-01-0616-43,-90.517174,14.633733
2017,00-02-0073-43,-90.503242,14.654497
2017,00-02-0074-43,-90.503059,14.654931
2017,00-03-0008-43,-90.529068,14.645864
2017,00-03-0343-43,-90.53228,14.617194
2017,00-03-0344-43,-90.529083,14.645834
2017,00-05-0421-43,-90.492561,14.630859
2017,00-05-0427-43,-90.500099,14.628839
2017,00-06-0478-43,-90.499649,14.649941
2017,00-06-0479-43,-90.489357,14.658956
2017,00-06-0480-43,-90.491684,14.665167
2017,00-06-0483-43,-90.494888,14.647601
2017,00-06-0486-43,-90.484322,14.673483
2017,00-06-0492-43,-90.497398,14.632623
2017,00-07-0569-43,-90.547279,14.627754
2017,00-07-0574-43,-90.556625,14.632181
2017,00-07-0587-43,-90.565376,14.639894
2017,00-07-0590-43,-90.534485,14.650341
2017,00-07-0591-43,-90.536301,14.646572
2017,00-07-0594-43,-90.522972,14.670513
2017,00-08-0668-43,-90.530106,14.609216
2017,00-13-2296-43,-90.529404,14.568164
2017,00-16-0015-43,-90.4841,14.598332
2017,00-16-7461-43,-90.485458,14.630875
2017,00-16-7463-43,-90.47818,14.620086
2017,00-16-8495-43,-90.471611,14.603475
2017,00-17-1171-43,-90.459869,14.645668
2017,00-17-7481-43,-90.427963,14.650917
2017,00-17-7486-43,-90.484436,14.63965
2017,00-18-1032-43,-90.480614,14.659101
2017,00-18-1169-43,-90.450409,14.653759
2017,00-18-1177-43,-90.457809,14.670916
2017,00-18-1180-43,-90.463287,14.681892
2017,00-18-1185-43,-90.450409,14.653759
2017,00-18-1187-43,-90.457375,14.662838
2017,00-18-1190-43,-90.449524,14.664203
2017,00-18-1193-43,-90.442604,14.654362
2017,00-18-7684-43,-90.41674,14.673685
2017,00-18-8694-43,-90.42643,14.646561
2017,00-18-8992-43,-90.448532,14.686355
2017,00-18-9579-43,-90.454094,14.677045
2017,00-21-0004-43,-90.543373,14.553124
2017,00-21-1116-43,-90.53466,14.546929
2017,00-21-2863-43,-90.550026,14.548008
